SL NO,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short Description,Description,In stock?,Sold individually?,Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Position,Meta: _specifications_display_attributes,Meta: _per_product_admin_commission_type,product-url,image_url
,simple,,NTN AS202 Ball Insert Bearings,1,0,visible,"Ball Insert Bearing - Round Bore, 15 mm ID, 40 mm OD, 22 mm Width, Standard Duty Duty, Set Screw Collar",,1,0,1,Thanks for purchasing,,1022.55,,,Dhaka Only,aea7cc42e1daf23dc4dd6803ea7ba29f_19.jpg,0,yes,percentage,http://www.bearingshop.org/ntn-as202-ball-insert-bearings.html,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/a/e/aea7cc42e1daf23dc4dd6803ea7ba29f_19.jpg
,simple,,NTN AS205-015 Ball Insert Bearings,1,0,visible,"Ball Insert Bearing - Round Bore, 0.9375 in ID, 2.0472 in OD, 1.0630 in Width, Standard Duty Duty, Set Screw Collar",,1,0,1,Thanks for purchasing,,1133.05,,,Dhaka Only,aea7cc42e1daf23dc4dd6803ea7ba29f_38.jpg,0,yes,percentage,http://www.bearingshop.org/ntn-as205015-ball-insert-bearings.html,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/a/e/aea7cc42e1daf23dc4dd6803ea7ba29f_38.jpg
,simple,,SL014952 NNC4952V Full complement Cylindrical roller bearings,1,0,visible,"SL014952 NNC4952V Full complement Cylindrical roller bearings

locating bearing, double row, full complement cylindrical roller set, dimension series 49



","SL014952 NNC4952V Full complement Cylindrical roller bearings
The price is FOB CHINA, Brand（Manufacturer）: FIJ  Refence No: SL014952
Payment Terms: T/T or paypal or western union.
Package: Standard or According to your requirements.
Lead time:In general,Once we get your order, will be shipped within 2days.
NEED SOME HELP?
We've tried to give you as much information as possible but if there's something missing that you need to know, you can get in touch with us below.
SL014952 NNC4952V Full complement 
 data:",1,0,1,Thanks for purchasing,,32499.750000000004,,,Dhaka Only,"113112_aah_ind_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.gif,7857342_2_1_10_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,fij_11_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.png",0,yes,percentage,http://www.bearingshop.org/sl014952-nnc4952v-full-complement-cylindrical-roller-bearings.html,"http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/f/i/fij_11_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.png,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/7/8/7857342_2_1_10_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/1/1/113112_aah_ind_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.gif"
,simple,,NTN UCX07-107D1 Ball Insert Bearings,1,0,visible,"Ball Insert Bearing - Round Bore, 1.4375 in ID, 3.1496 in OD, 1.9370 in Width, Intermediate Duty Duty, Set Screw Collar",,1,0,1,Thanks for purchasing,,5097.45,,,Dhaka Only,5b43b7f265f6749f2c4d8e6a9207b014_49.jpg,0,yes,percentage,http://www.bearingshop.org/ntn-ucx07107d1-ball-insert-bearings.html,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/5/b/5b43b7f265f6749f2c4d8e6a9207b014_49.jpg
,simple,,"NSK 7924CTRSULP4Y Single Row Angular Contact Ball Bearings ,Super Precision Bearings",1,0,visible,NSK 7924CTRSULP4Y SUPER PRECISION.- 7000 SERIES ANGULAR CONTACT BEARING SINGLE,,1,0,1,Thanks for purchasing,,37422.95,,,Dhaka Only,6be87c243759a999c77cc92fc4e28af3.jpg,0,yes,percentage,http://www.bearingshop.org/nsk-7924ctrsulp4y-single-row-angular-contact-ball-bearings-super-precision-bearings.html,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/6/b/6be87c243759a999c77cc92fc4e28af3.jpg
,simple,,UCPA206 Tap Base Bearing Unit 30mm Pillow Block Bearing,1,0,visible,"UCPA206 Tap Base Bearing Unit 30mm Pillow Block Bearing

Normal Duty Eccentric Collar Locking Inch Bolt Holes.

","UCPA206 Tap Base Bearing Unit 30mm Pillow Block Bearing
The price is FOB CHINA, Brand（Manufacturer）: FIJ
Payment Terms: T/T or paypal or western union.
Package: Standard or According to your requirements.
Bearing shop online - Best Bearings Supplier In China
Not all bearings are equal, and not all bearings can work freely. But with the right bearings, you can make your machine worry-free working. Being one of the best Bearings suppliers in China, we can offer you the right bearings based on your needs.
 
 
 ",1,0,1,Thanks for purchasing,849.15,1179.8,,,Dhaka Only,"ucpa2-design_1_1_1_1_1_2_1_1_1_1_1_2_1_1_1.jpg,135321c35d4ee722053e3e37f878fdbb_1_1_1_1_1_2_1_1_1_1_1_2_1_1_1.jpg",0,yes,percentage,http://www.bearingshop.org/ucpa206-tap-base-bearing-unit-30mm-pillow-block-bearing.html,"http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/u/c/ucpa2-design_1_1_1_1_1_2_1_1_1_1_1_2_1_1_1.jpg,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/1/3/135321c35d4ee722053e3e37f878fdbb_1_1_1_1_1_2_1_1_1_1_1_2_1_1_1.jpg"
,simple,,GE140-AX GX140S Axial spherical plain bearings,1,0,visible,"GE140-AX GX140S Axial spherical plain bearings

requiring maintenance





","GE140-AX GX140S Axial spherical plain bearings
requiring maintenance
The price is FOB CHINA, Brand（Manufacturer）: FIJ
Payment Terms: T/T or paypal or western union.
Package: Standard or According to your requirements.
Lead time:In general,Once we get your order, will be shipped within 2days.
NEED SOME HELP?
Bearing shop online - Best Bearings Supplier In China
We've tried to give you as much information as possible but if there's something missing that you need to know, you can get in touch with us below.
GE140-AX GX140S Axial spherical plain bearings data:",1,0,1,Thanks for purchasing,,17372.3,,,Dhaka Only,"strong_style_color_b82220_thrust_spherical_plain_strong_bearing_joint_bearing_gx_s_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,fij_10_1_1_1_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.png,117052_aah_ind_1_1_1_1_1_1_1_1_1_1_1_1_1_1.gif",0,yes,percentage,http://www.bearingshop.org/ge140-ax-gx140s-axial-spherical-plain-bearings.html,"http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/f/i/fij_10_1_1_1_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.png,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/s/t/strong_style_color_b82220_thrust_spherical_plain_strong_bearing_joint_bearing_gx_s_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/1/1/117052_aah_ind_1_1_1_1_1_1_1_1_1_1_1_1_1_1.gif"
,simple,,ZARN2572-TV Needle roller/axial cylindrical roller bearings ZARN2572TN,1,0,visible,"ZARN2572-TV Needle roller/axial cylindrical roller bearings ZARN2572TN

double direction

","ZARN2572-TV Needle roller/axial cylindrical roller bearings ZARN2572TN
double direction
The price is FOB CHINA, Brand（Manufacturer）: FIJ  Refence ZARN2572-TV
Payment Terms: T/T or paypal or western union.
Package: Standard or According to your requirements.
Lead time:In general,Once we get your order, will be shipped within 2days.
NEED SOME HELP?
We've tried to give you as much information as possible but if there's something missing that you need to know, you can get in touch with us below.
ZARN2572TV Needle roller/axial cylindrical roller bearings data:",1,0,1,Thanks for purchasing,,1501.1,,,Dhaka Only,"5527e769258ad_1_1_1_1_1_2.png,fij_15_1_1_1_2.png,107096_aah_ind_1_1_1_1_1_2.gif",0,yes,percentage,http://www.bearingshop.org/zarn2572-tv-needle-roller-axial-cylindrical-roller-bearings-zarn2572tn.html,"http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/5/5/5527e769258ad_1_1_1_1_1_2.png,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/1/0/107096_aah_ind_1_1_1_1_1_2.gif,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/f/i/fij_15_1_1_1_2.png"
,simple,,Thomson FNYBUPB24ALLS Round Shaft Pillow Blocks,1,0,visible,"Linear Guide Round Shaft Pillow Block - Series: FluoroNyliner PB, Closed, Shaft Diameter: 1.500 in",,1,0,1,Thanks for purchasing,,12904.699999999999,,,Dhaka Only,a3479063f9d161cce3da3eebfbcf564f_5.jpg,0,yes,percentage,http://www.bearingshop.org/thomson-fnybupb24alls-round-shaft-pillow-blocks.html,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/a/3/a3479063f9d161cce3da3eebfbcf564f_5.jpg
,simple,,"NSK W2503SA-3P-C5Z6 Ball Screw ,Support Units",1,0,visible,SA Series Ball Screw - 25 mm Nominal Screw Diameter,,1,0,1,Thanks for purchasing,,53077.4,,,Dhaka Only,5aa965c4e3e9f2b8425cf27419f2b668_52.jpg,0,yes,percentage,http://www.bearingshop.org/nsk-w2503sa3pc5z6-ball-screw-support-units.html,http://www.bearingshop.org/media/catalog/product/cache/3/image/1200x1200/5ec43ad67c63175220f434b14e0d64e4/5/a/5aa965c4e3e9f2b8425cf27419f2b668_52.jpg
